;Source;Target;Common Genes
1093;Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked;Diabetes mellitus;1
1094;Incontinentia pigmenti;Ectodermal dysplasia;1
1095;Infantile spasm syndrome;Lissencephaly;1
1096;Infantile spasm syndrome;Mental retardation;1
1097;Infantile spasm syndrome;Myoclonic epilepsy;1
1098;Infantile spasm syndrome;Partington syndrome;1
1099;Infantile spasm syndrome;Proud syndrome;1
1100;Infundibular hypoplasia and hypopituitarism;Mental retardation;1
1101;Insensitivity to pain;Medullary thyroid carcinoma;1
1102;Insomnia;Creutzfeldt-Jakob disease;1
1103;Insomnia;Gerstmann-Straussler disease;1
1104;Insomnia;Huntington disease;1
1105;Insomnia;Prion disease with protracted course;1
1106;Insulin resistance;Diabetes mellitus;1
1107;Insulin resistance;Glioblastoma;1
1108;Insulin resistance;Lipodystrophy;1
1109;Insulin resistance;Obesity;1
1110;Intervertebral disc disease;Epiphyseal dysplasia;2
1111;Iridogoniodysgenesis;Anterior segment anomalies and cataract;1
1112;Iridogoniodysgenesis;Axenfeld anomaly;1
1113;Iridogoniodysgenesis;Iris hypoplasia and glaucoma;1
1114;Iridogoniodysgenesis;Rieger syndrome;2
1115;Iridogoniodysgenesis;Ring dermoid of cornea;1
1116;Iris hypoplasia and glaucoma;Anterior segment anomalies and cataract;1
1117;Iris hypoplasia and glaucoma;Axenfeld anomaly;1
1118;Iris hypoplasia and glaucoma;Iridogoniodysgenesis;1
1119;Iris hypoplasia and glaucoma;Rieger syndrome;1
1120;Jackson-Weiss syndrome;Kallmann syndrome;1
1121;Jackson-Weiss syndrome;Pfeiffer syndrome;2
1122;Jackson-Weiss syndrome;Apert syndrome;1
1123;Jackson-Weiss syndrome;Beare-Stevenson cutis gyrata syndrome;1
1124;Jackson-Weiss syndrome;Craniofacial-skeletal-dermatologic dysplasia;1
1125;Jackson-Weiss syndrome;Craniosynostosis;1
1126;Jackson-Weiss syndrome;Crouzon syndrome;1
1127;Jackson-Weiss syndrome;Gastric cancer;1
1128;Jackson-Weiss syndrome;Saethre-Chotzen syndrome;1
1129;Jensen syndrome;Deafness;1
1130;Jensen syndrome;Mohr-Tranebjaerg syndrome;1
1131;Jervell and Lange-Nielsen syndrome;Long QT syndrome;2
1132;Jervell and Lange-Nielsen syndrome;Atrial fibrillation;1
1133;Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome;Pancreatic cancer;1
1134;Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome;Polyposis;1
1135;Kallmann syndrome;Jackson-Weiss syndrome;1
1136;Kallmann syndrome;Pfeiffer syndrome;1
1137;Keratitis;Aniridia, type II;1
1138;Keratitis;Cataract;1
1139;Keratitis;Coloboma, ocular;1
1140;Keratitis;Ectopia;1
1141;Keratitis;Eye anomalies;1
1142;Keratitis;Foveal hypoplasia;1
1143;Keratitis;Morning glory disc anomaly;1
1144;Keratitis;Optic nerve hypoplasia/aplasia;1
1145;Keratitis;Peters anomaly;1
1146;Keratitis-ichthyosis-deafness syndrome;Bart-Pumphrey syndrome;1
1147;Keratitis-ichthyosis-deafness syndrome;Deafness;1
1148;Keratitis-ichthyosis-deafness syndrome;Hystrix-like ichthyosis with deafness;1
1149;Keratitis-ichthyosis-deafness syndrome;Keratoderma, palmoplantar, with deafness;1
1150;Keratitis-ichthyosis-deafness syndrome;Vohwinkel syndrome;1
1151;Keratoconus;Corneal dystrophy;1
1152;Keratoconus;Craniofacial anomalies, empty sella turcica, corneal endothelial changes;1
1153;Keratoderma, palmoplantar, with deafness;Bart-Pumphrey syndrome;1
1154;Keratoderma, palmoplantar, with deafness;Deafness;1
1155;Keratoderma, palmoplantar, with deafness;Hystrix-like ichthyosis with deafness;1
1156;Keratoderma, palmoplantar, with deafness;Keratitis-ichthyosis-deafness syndrome;1
1157;Keratoderma, palmoplantar, with deafness;Vohwinkel syndrome;1
1158;Keratosis palmoplantaria striata;Arrhythmogenic right ventricular dysplasia;1
1159;Keratosis palmoplantaria striata;Dilated cardiomyopathy with woolly hair and keratoderma;1
1160;Keratosis palmoplantaria striata;Epidermolysis bullosa;1
1161;Keratosis palmoplantaria striata;Skin fragility-woolly hair syndrome;1
1162;Keratosis palmoplantaria striata;Cyclic ichthyosis with epidermolytic hyperkeratosis;1
1163;Keratosis palmoplantaria striata;Epidermolytic hyperkeratosis;1
1164;Keratosis palmoplantaria striata;Ichthyosis;1
1165;Keratosis palmoplantaria striata;Unna-Thost disease, nonepidermolytic;1
1166;Kniest dysplasia;Achondrogenesis-hypochondrogenesis, type II;1
1167;Kniest dysplasia;Osteoarthritis;1
1168;Kniest dysplasia;SMED Strudwick type;1
1169;Kniest dysplasia;Stickler syndrome;1
1170;Kniest dysplasia;Wagner syndrome;1
1171;Larson syndrome;Atelosteogenesis;1
1172;Larson syndrome;Spondylocarpotarsal synostosis syndrome;1
1173;Laryngoonychocutaneous syndrome;Epidermolysis bullosa;1
1174;Leanness, inherited;Obesity;1
1175;Leber congenital amaurosis;Cone dystrophy;4
1176;Leber congenital amaurosis;Retinitis pigmentosa;4
1177;Leber congenital amaurosis;Pigmented paravenous chorioretinal atrophy;1
1178;Leigh syndrome;GRACILE syndrome;1
1179;Leigh syndrome;Mitochondrial complex deciency;4
1180;Leigh syndrome;Cardiomyopathy;1
1181;Leigh syndrome;Maple syrup urine disease;1
1182;Leigh syndrome;Alexander disease;1
1183;Leigh syndrome;Pyruvate dehydrogenase deciency;1
1184;Leopard syndrome;Leukemia;1
1185;Leopard syndrome;Noonan syndrome;1
1186;Leprechaunism;Diabetes mellitus;1
1187;Leprechaunism;Rabson-Mendenhall syndrome;1
1188;Leprosy;Adenocarcinoma;1
1189;Leprosy;Parkinson disease;1
1190;Leukemia;Colon cancer;1
1191;Leukemia;von Hippel-Lindau syndrome;1
1192;Leukemia;Platelet defect/deficiency;1
1193;Leukemia;Rheumatoid arthritis;1
1194;Leukemia;Benzene toxicity;1
1195;Leukemia;Dyserythropoietic anemia;1
1196;Leukemia;Macrothrombocytopenia;1
1197;Leukemia;Gastrointestinal stromal tumor;1
1198;Leukemia;Germ cell tumor;1
1199;Leukemia;Mast cell leukemia;1
1200;Leukemia;Mastocytosis with associated hematologic disorder;1
1201;Leukemia;Piebaldism;1
1202;Leukemia;Bladder cancer;1
1203;Leukemia;Breast cancer;1
1204;Leukemia;Lung cancer;1
1205;Leukemia;Pancreatic cancer;1
1206;Leukemia;Stomach cancer;1
1207;Leukemia;Lipoma;1
1208;Leukemia;Nijmegen breakage syndrome;1
1209;Leukemia;Neurofibromatosis;1
1210;Leukemia;Neurobromatosis-Noonan syndrome;1
1211;Leukemia;Neurofibromatosis;1
1212;Leukemia;Watson syndrome;1
1213;Leukemia;Leopard syndrome;1
1214;Leukemia;Noonan syndrome;1
1215;Leukemia;Growth hormone;1
1216;Lhermitte-Duclos syndrome;Bannayan-Riley-Ruvalcaba syndrome;1
1217;Lhermitte-Duclos syndrome;Cowden disease;1
1218;Lhermitte-Duclos syndrome;Endometrial carcinoma;1
1219;Lhermitte-Duclos syndrome;Meningioma;1
1220;Lhermitte-Duclos syndrome;Oligodendroglioma;1
1221;Lhermitte-Duclos syndrome;Prostate cancer;1
1222;Lhermitte-Duclos syndrome;Thyroid carcinoma;1
1223;Lhermitte-Duclos syndrome;VATER association with hydrocephalus;1
1224;Liddle syndrome;Pseudohypoaldosteronism;2
1225;Li Fraumeni syndrome;Melanoma;1
1226;Li Fraumeni syndrome;Orolaryngeal cancer;1
1227;Li Fraumeni syndrome;Pancreatic cancer;1
1228;Li-Fraumeni syndrome;Adrenal cortical carcinoma;1
1229;Li-Fraumeni syndrome;Breast cancer;2
1230;Li-Fraumeni syndrome;Colon cancer;1
1231;Li-Fraumeni syndrome;Hepatic adenoma;1
1232;Li-Fraumeni syndrome;Histiocytoma;1
1233;Li-Fraumeni syndrome;Multiple malignancy syndrome;1
1234;Li-Fraumeni syndrome;Nasopharyngeal carcinoma;1
1235;Li-Fraumeni syndrome;Osteosarcoma;2
1236;Li-Fraumeni syndrome;Pancreatic cancer;1
1237;Li-Fraumeni syndrome;Thyroid carcinoma;1
1238;Li-Fraumeni syndrome;Prostate cancer;1
1239;Lipodystrophy;Cardiomyopathy;1
1240;Lipodystrophy;Emery-Dreifuss muscular dystrophy;1
1241;Lipodystrophy;Diabetes mellitus;1
1242;Lipodystrophy;Glioblastoma;1
1243;Lipodystrophy;Insulin resistance;1
1244;Lipodystrophy;Obesity;1
1245;Lipodystrophy;Silver spastic paraplegia syndrome;1
1246;Lipodystrophy;Spinal muscular atrophy;1
1247;Lipoma;Leukemia;1
1248;Lipoma;Adrenal adenoma;1
1249;Lipoma;Angiofibroma, sporadic;1
1250;Lipoma;Carcinoid tumor of lung;1
1251;Lipoma;Hyperparathyroidism;1
1252;Lipoma;Multiple endocrine neoplasia;1
1253;Lipoma;Parathyroid adenoma;1
1254;Lipoma;Prolactinoma, hyperparathyroidism, carcinoid syndrome;1
1255;Lipoma;Salivary adenoma;1
1256;Lipoma;Uterine leiomyoma;1
1257;Lissencephaly;Subcortical laminar heterotopia;2
1258;Lissencephaly;Infantile spasm syndrome;1
1259;Lissencephaly;Mental retardation;1
1260;Lissencephaly;Myoclonic epilepsy;1
1261;Lissencephaly;Partington syndrome;1
1262;Lissencephaly;Proud syndrome;1
1263;Listeria monocytogenes;Breast cancer;1
1264;Listeria monocytogenes;Endometrial carcinoma;1
1265;Listeria monocytogenes;Gastric cancer;1
1266;Listeria monocytogenes;Ovarian cancer;1
1267;Loeys-Dietz syndrome;Colon cancer;1
1268;Loeys-Dietz syndrome;Esophageal cancer;1
1269;Long QT syndrome;Jervell and Lange-Nielsen syndrome;2
1270;Long QT syndrome;Acquired long QT syndrome;1
1271;Long QT syndrome;Atrial fibrillation;2
1272;Long QT syndrome;Brugada syndrome;1
1273;Long QT syndrome;Heart block;1
1274;Long QT syndrome;Sick sinus syndrome;1
1275;Long QT syndrome;Ventricular brillation, idiopathic;1
1276;Lower motor neuron disease, progressive, without sensory symptoms;Amyotrophic lateral sclerosis;1
1277;Lung cancer;Bladder cancer;1
1278;Lung cancer;Breast cancer;2
1279;Lung cancer;Leukemia;1
1280;Lung cancer;Pancreatic cancer;1
1281;Lung cancer;Stomach cancer;1
1282;Lung cancer;Rhabdomyosarcoma;1
1283;Lymphoma;Ataxia-telangiectasia;1
1284;Lymphoma;Breast cancer;2
1285;Lymphoma;T-cell lymphoblastic leukemia;1
1286;Lymphoma;Cafe-au-lait spots;1
1287;Lymphoma;Colon cancer;4
1288;Lymphoma;Glioblastoma;1
1289;Lymphoma;Lynch cancer family syndrome II;1
1290;Lymphoma;Muir-Torre syndrome;1
1291;Lymphoma;Neurofibromatosis;1
1292;Lymphoma;Ovarian cancer;1
1293;Lymphoma;Prostate cancer;1
1294;Lymphoma;Germ cell tumor;1
1295;Lymphoma;Mesothelioma;1
1296;Lymphoma;Sezary syndrome;1
1297;Lynch cancer family syndrome II;Cafe-au-lait spots;1
1298;Lynch cancer family syndrome II;Colon cancer;1
1299;Lynch cancer family syndrome II;Glioblastoma;1
1300;Lynch cancer family syndrome II;Lymphoma;1
1301;Lynch cancer family syndrome II;Muir-Torre syndrome;1
1302;Lynch cancer family syndrome II;Neurofibromatosis;1
1303;Lynch cancer family syndrome II;Ovarian cancer;1
1304;Macrocytic anemia;Gastric cancer;1
1305;Macrocytic anemia;Myelodysplastic syndrome;1
1306;Macrocytic anemia;Myelogenous leukemia;1
1307;Macrocytic anemia;Nonsmall cell lung cancer;1
1308;Macrothrombocytopenia;Dyserythropoietic anemia;1
1309;Macrothrombocytopenia;Leukemia;1
1310;Macular degeneration;Factor x deficiency;1
1311;Macular degeneration;Hemolytic-uremic syndrome;1
1312;Macular degeneration;Nephropathy-hypertension;1
1313;Macular degeneration;Cone dystrophy;1
1314;Macular degeneration;Retinitis pigmentosa;1
1315;Macular degeneration;Cutis laxa;1
1316;Macular degeneration;Achromatopsia;1
1317;Maculopathy, bull's-eye;Macular dystrophy;1
1318;Maculopathy, bull's-eye;Vitelliform macular dystrophy;1
1319;Malaria;Platelet defect/deficiency;1
1320;Malaria;Blood group;1
1321;Malaria;Asthma;1
1322;Malaria;Dementia;1
1323;Malaria;Migraine;1
1324;Malaria;Sepsis;1
1325;Malignant hyperthermia susceptibility;Hypokalemic periodic paralysis;1
1326;Malignant hyperthermia susceptibility;Thyrotoxic periodic paralysis;1
1327;Malignant hyperthermia susceptibility;Central core disease;1
1328;Maple syrup urine disease;Leigh syndrome;1
1329;Marfan syndrome;Ehlers-Danlos syndrome;1
1330;Marfan syndrome;Osteogenesis imperfecta;1
1331;Marfan syndrome;Osteoporosis;1
1332;Marfan syndrome;Aortic aneurysm;1
1333;Marfan syndrome;Ectopia;1
1334;Marfan syndrome;MASS syndrome;1
1335;Marfan syndrome;Shprintzen-Goldberg syndrome;1
1336;Marfan syndrome;Weill-Marchesani syndrome;1
1337;Marshall syndrome;Stickler syndrome;1
1338;MASS syndrome;Aortic aneurysm;1
1339;MASS syndrome;Ectopia;1
1340;MASS syndrome;Marfan syndrome;1
1341;MASS syndrome;Shprintzen-Goldberg syndrome;1
1342;MASS syndrome;Weill-Marchesani syndrome;1
1343;Mast cell leukemia;Gastrointestinal stromal tumor;1
1344;Mast cell leukemia;Germ cell tumor;1
1345;Mast cell leukemia;Leukemia;1
1346;Mast cell leukemia;Mastocytosis with associated hematologic disorder;1
1347;Mast cell leukemia;Piebaldism;1
1348;Mastocytosis with associated hematologic disorder;Gastrointestinal stromal tumor;1
1349;Mastocytosis with associated hematologic disorder;Germ cell tumor;1
1350;Mastocytosis with associated hematologic disorder;Leukemia;1
1351;Mastocytosis with associated hematologic disorder;Mast cell leukemia;1
1352;Mastocytosis with associated hematologic disorder;Piebaldism;1
1353;May-Hegglin anomaly;Deafness;1
1354;May-Hegglin anomaly;Epstein syndrome;1
1355;May-Hegglin anomaly;Fechtner syndrome;1
1356;May-Hegglin anomaly;Sebastian syndrome;1
1357;McCune-Albright syndrome;Acromegaly;1
1358;McCune-Albright syndrome;Osseous heteroplasia;1
1359;McCune-Albright syndrome;Pituitary ACTH-secreting adenoma;1
1360;McCune-Albright syndrome;Pseudohypoparathyroidism;1
1361;McCune-Albright syndrome;Somatotrophinoma;1
1362;Medulloblastoma;Basal cell carcinoma;1
1363;Melanoma;Adenocarcinoma;1
1364;Melanoma;Colon cancer;1
1365;Melanoma;Nonsmall cell lung cancer;1
1366;Melanoma;Li Fraumeni syndrome;1
1367;Melanoma;Orolaryngeal cancer;1
1368;Melanoma;Pancreatic cancer;2
1369;Melanoma;Peutz-Jeghers syndrome;1
1370;Melanoma;Breast cancer;1
1371;Memory impairment;Central hypoventilation syndrome;1
1372;Memory impairment;Obsessive-compulsive disorder;1
1373;Meniere disease;Deafness;1
1374;Meningioma;Neurofibromatosis;1
1375;Meningioma;Schwannomatosis;1
1376;Meningioma;Dermatobrosarcoma protuberans;1
1377;Meningioma;Giant-cell fibroblastoma;1
1378;Meningioma;Bannayan-Riley-Ruvalcaba syndrome;1
1379;Meningioma;Cowden disease;1
1380;Meningioma;Endometrial carcinoma;1
1381;Meningioma;Lhermitte-Duclos syndrome;1
1382;Meningioma;Oligodendroglioma;1
1383;Meningioma;Prostate cancer;1
1384;Meningioma;Thyroid carcinoma;1
1385;Meningioma;VATER association with hydrocephalus;1
1386;Menkes disease;Cutis laxa;1
1387;Menkes disease;Occipital horn syndrome;1
1388;Mental retardation;Aarskog-Scott syndrome;1
1389;Mental retardation;Angelman syndrome;1
1390;Mental retardation;Autism;2
1391;Mental retardation;PPM-X syndrome;1
1392;Mental retardation;Rett syndrome;1
1393;Mental retardation;Coffin-Lowry syndrome;1
1394;Mental retardation;Creatine deciency syndrome, X-linked;1
1395;Mental retardation;Infundibular hypoplasia and hypopituitarism;1
1396;Mental retardation;Asperger syndrome;1
1397;Mental retardation;Infantile spasm syndrome;1
1398;Mental retardation;Lissencephaly;1
1399;Mental retardation;Myoclonic epilepsy;1
1400;Mental retardation;Partington syndrome;1
1401;Mental retardation;Proud syndrome;1
1402;Merkel cell carcinoma;Carcinoid tumors, intestinal;1
1403;Merkel cell carcinoma;Paragangliomas;1
1404;Merkel cell carcinoma;Pheochromocytoma;1
1405;Mesangial sclerosis;Denys-Drash syndrome;1
1406;Mesangial sclerosis;Frasier syndrome;1
1407;Mesangial sclerosis;WAGR syndrome;1
1408;Mesangial sclerosis;Wilms tumor;1
1409;Mesothelioma;Colon cancer;1
1410;Mesothelioma;Germ cell tumor;1
1411;Mesothelioma;Lymphoma;1
1412;Mesothelioma;Sezary syndrome;1
1413;Migraine;Alternating hemiplegia of childhood;1
1414;Migraine;Estrogen resistance;1
1415;Migraine;HDL cholesterol level QTL;1
1416;Migraine;Asthma;1
1417;Migraine;Dementia;1
1418;Migraine;Malaria;1
1419;Migraine;Sepsis;1
1420;Mitochondrial complex deciency;GRACILE syndrome;1
1421;Mitochondrial complex deciency;Leigh syndrome;4
1422;Mitochondrial complex deciency;Alexander disease;1
1423;Miyoshi myopathy;Muscular dystrophy;1
1424;Miyoshi myopathy;Myopathy;1
1425;MODY;Diabetes mellitus;5
1426;MODY;Hyperinsulinism;1
1427;MODY;Hyperproinsulinemia;1
1428;MODY;Pancreatic agenesis;1
1429;MODY;Hepatic adenoma;1
1430;MODY;Glomerulocystic kidney disease, hypoplastic;1
1431;Mohr-Tranebjaerg syndrome;Deafness;1
1432;Mohr-Tranebjaerg syndrome;Jensen syndrome;1
1433;Morning glory disc anomaly;Aniridia, type II;1
1434;Morning glory disc anomaly;Cataract;1
1435;Morning glory disc anomaly;Coloboma, ocular;1
1436;Morning glory disc anomaly;Ectopia;1
1437;Morning glory disc anomaly;Eye anomalies;1
1438;Morning glory disc anomaly;Foveal hypoplasia;1
1439;Morning glory disc anomaly;Keratitis;1
1440;Morning glory disc anomaly;Optic nerve hypoplasia/aplasia;1
1441;Morning glory disc anomaly;Peters anomaly;1
1442;Muenke syndrome;Achondroplasia;1
1443;Muenke syndrome;Bladder cancer;1
1444;Muenke syndrome;Cervical carcinoma;1
1445;Muenke syndrome;Colon cancer;1
1446;Muenke syndrome;Crouzon syndrome;1
1447;Muenke syndrome;Hypochondroplasia;1
1448;Muenke syndrome;Thanatophoric dysplasia, types I and II;1
1449;Muir-Torre syndrome;Cafe-au-lait spots;2
1450;Muir-Torre syndrome;Colon cancer;2
1451;Muir-Torre syndrome;Turcot syndrome;1
1452;Muir-Torre syndrome;Glioblastoma;1
1453;Muir-Torre syndrome;Lymphoma;1
1454;Muir-Torre syndrome;Lynch cancer family syndrome II;1
1455;Muir-Torre syndrome;Neurofibromatosis;1
1456;Muir-Torre syndrome;Ovarian cancer;1
1457;Multiple endocrine neoplasia;Adrenal adenoma;1
1458;Multiple endocrine neoplasia;Angiofibroma, sporadic;1
1459;Multiple endocrine neoplasia;Carcinoid tumor of lung;1
1460;Multiple endocrine neoplasia;Hyperparathyroidism;1
1461;Multiple endocrine neoplasia;Lipoma;1
1462;Multiple endocrine neoplasia;Parathyroid adenoma;1
1463;Multiple endocrine neoplasia;Prolactinoma, hyperparathyroidism, carcinoid syndrome;1
1464;Multiple endocrine neoplasia;Central hypoventilation syndrome;1
1465;Multiple endocrine neoplasia;Colonic aganglionosis, total, with small bowel involvement;1
1466;Multiple endocrine neoplasia;Hirschsprung disease;1
1467;Multiple endocrine neoplasia;Medullary thyroid carcinoma;1
1468;Muscular dystrophy;Cardiomyopathy;4
1469;Muscular dystrophy;Creatine phosphokinase;1
1470;Muscular dystrophy;Myopathy;2
1471;Muscular dystrophy;Rippling muscle disease;1
1472;Muscular dystrophy;Walker-Warburg syndrome;2
1473;Muscular dystrophy;Epidermolysis bullosa;1
1474;Muscular dystrophy;Miyoshi myopathy;1
1475;Muscular dystrophy;Myotilinopathy;1
1476;Myasthenic syndrome;Cramps, potassium-aggravated;1
1477;Myasthenic syndrome;Hyperkalemic periodic paralysis;1
1478;Myasthenic syndrome;Hypokalemic periodic paralysis;1
1479;Myasthenic syndrome;Myotonia congenita;1
1480;Myasthenic syndrome;Paramyotonia congenita;1
1481;Myelodysplastic syndrome;Gastric cancer;1
1482;Myelodysplastic syndrome;Macrocytic anemia;1
1483;Myelodysplastic syndrome;Myelogenous leukemia;2
1484;Myelodysplastic syndrome;Nonsmall cell lung cancer;1
1485;Myelofibrosis, idiopathic;Polycythemia;1
1486;Myelofibrosis, idiopathic;Thrombocythemia;1
1487;Myelogenous leukemia;Gastric cancer;1
1488;Myelogenous leukemia;Macrocytic anemia;1
1489;Myelogenous leukemia;Myelodysplastic syndrome;2
1490;Myelogenous leukemia;Nonsmall cell lung cancer;1
1491;Myeloperoxidase deficiency;Alzheimer disease;1
1492;Myocardial infarction;Stroke;1
1493;Myocardial infarction;Alzheimer disease;2
1494;Myocardial infarction;Hyperlipoproteinemia;1
1495;Myocardial infarction;Sea-blue histiocyte disease;1
1496;Myocardial infarction;Angiotensin I-converting enzyme;1
1497;Myocardial infarction;Diabetes mellitus;1
1498;Myocardial infarction;Renal tubular dysgenesis;1
1499;Myocardial infarction;SARS, progression of;1
1500;Myocardial infarction;Factor x deficiency;1
1501;Myocardial infarction;Thrombophilia;1
1502;Myoclonic epilepsy;Epilepsy;1
1503;Myoclonic epilepsy;Infantile spasm syndrome;1
1504;Myoclonic epilepsy;Lissencephaly;1
1505;Myoclonic epilepsy;Mental retardation;1
1506;Myoclonic epilepsy;Partington syndrome;1
1507;Myoclonic epilepsy;Proud syndrome;1
1508;Myoglobinuria/hemolysis due to PGK deciency;Hemolytic anemia;1
1509;Myokymia with neonatal epilepsy;Epilepsy;1
1510;Myopathy;Cardiomyopathy;3
1511;Myopathy;Creatine phosphokinase;1
1512;Myopathy;Muscular dystrophy;2
1513;Myopathy;Rippling muscle disease;1
1514;Myopathy;CPT deficiency, hepatic;1
1515;Myopathy;Cataract;1
1516;Myopathy;Becker muscular dystrophy;1
1517;Myopathy;Central core disease;1
1518;Myopathy;Miyoshi myopathy;1
1519;Myotilinopathy;Muscular dystrophy;1
1520;Myotonia congenita;Cramps, potassium-aggravated;1
1521;Myotonia congenita;Hyperkalemic periodic paralysis;1
1522;Myotonia congenita;Hypokalemic periodic paralysis;1
1523;Myotonia congenita;Myasthenic syndrome;1
1524;Myotonia congenita;Paramyotonia congenita;1
1525;Myxoma, intracardiac;Adrenocortical carcinoma;1
1526;Myxoma, intracardiac;Carney complex;1
1527;Myxoma, intracardiac;Pigmented adrenocortical disease, primary isolated;1
1528;Myxoma, intracardiac;Thyroid carcinoma;1
1529;Nasopharyngeal carcinoma;Adrenal cortical carcinoma;1
1530;Nasopharyngeal carcinoma;Breast cancer;1
1531;Nasopharyngeal carcinoma;Colon cancer;1
1532;Nasopharyngeal carcinoma;Hepatic adenoma;1
1533;Nasopharyngeal carcinoma;Histiocytoma;1
1534;Nasopharyngeal carcinoma;Li-Fraumeni syndrome;1
1535;Nasopharyngeal carcinoma;Multiple malignancy syndrome;1
1536;Nasopharyngeal carcinoma;Osteosarcoma;1
1537;Nasopharyngeal carcinoma;Pancreatic cancer;1
1538;Nasopharyngeal carcinoma;Thyroid carcinoma;1
1539;Nephropathy-hypertension;Factor x deficiency;1
1540;Nephropathy-hypertension;Hemolytic-uremic syndrome;1
1541;Nephropathy-hypertension;Macular degeneration;1
1542;Netherton syndrome;Atopy;1
1543;Neuroblastoma;Central hypoventilation syndrome;1
1544;Neuroblastoma;Hirschsprung disease;1
1545;Neuroectodermal tumors;Colon cancer;1
1546;Neuroectodermal tumors;Turcot syndrome;1
1547;Neurofibromatosis;Leukemia;1
1548;Neurofibromatosis;Neurobromatosis-Noonan syndrome;1
1549;Neurofibromatosis;Neurofibromatosis;3
1550;Neurofibromatosis;Watson syndrome;1
1551;Neurobromatosis-Noonan syndrome;Leukemia;1
1552;Neurobromatosis-Noonan syndrome;Neurofibromatosis;1
1553;Neurobromatosis-Noonan syndrome;Neurofibromatosis;1
1554;Neurobromatosis-Noonan syndrome;Watson syndrome;1
1555;Neurofibromatosis;Cafe-au-lait spots;1
1556;Neurofibromatosis;Colon cancer;1
1557;Neurofibromatosis;Glioblastoma;1
1558;Neurofibromatosis;Lymphoma;1
1559;Neurofibromatosis;Lynch cancer family syndrome II;1
1560;Neurofibromatosis;Muir-Torre syndrome;1
1561;Neurofibromatosis;Ovarian cancer;1
1562;Neurofibromatosis;Leukemia;1
1563;Neurofibromatosis;Neurofibromatosis;3
1564;Neurofibromatosis;Neurobromatosis-Noonan syndrome;1
1565;Neurofibromatosis;Watson syndrome;1
1566;Neurofibromatosis;Meningioma;1
1567;Neurofibromatosis;Schwannomatosis;1
1568;Neurofibrosarcoma;Prostate cancer;1
1569;Neuropathy;Charcot-Marie-Tooth disease;4
1570;Neuropathy;Dejerine-Sottas disease;3
1571;Neuropathy;Roussy-Levy syndrome;2
1572;Neutropenia;Hematopoiesis, cyclic;1
1573;Neutropenia;Viral infection;1
1574;Neutropenia;Thrombocytopenia;1
1575;Neutropenia;Wiskott-Aldrich syndrome;1
1576;Nevo syndrome;Ehlers-Danlos syndrome;1
1577;Nevus, epidermal, epidermolytic hyperkeratotic type;Epidermolytic hyperkeratosis;1
1578;Nevus, epidermal, epidermolytic hyperkeratotic type;Ichthyosis;1
1579;Newfoundland rod-cone dystrophy;Bothnia retinal dystrophy;1
1580;Newfoundland rod-cone dystrophy;Fundus albipunctatus;1
1581;Newfoundland rod-cone dystrophy;Retinitis pigmentosa;1
1582;Nicotine addiction;Epilepsy;1
1583;Nicotine addiction;Coumarin resistance;1
1584;Night blindness;Retinitis pigmentosa;2
1585;Nijmegen breakage syndrome;Leukemia;1
1586;Noncompaction of left ventricular myocardium;Barth syndrome;1
1587;Noncompaction of left ventricular myocardium;Cardiomyopathy;1
1588;Non-Hodgkin lymphoma;Autoimmune disease;1
1589;Non-Hodgkin lymphoma;Gastric cancer;1
1590;Nonsmall cell lung cancer;Adenocarcinoma;2
1591;Nonsmall cell lung cancer;Colon cancer;1
1592;Nonsmall cell lung cancer;Melanoma;1
1593;Nonsmall cell lung cancer;Gastric cancer;1
1594;Nonsmall cell lung cancer;Macrocytic anemia;1
1595;Nonsmall cell lung cancer;Myelodysplastic syndrome;1
1596;Nonsmall cell lung cancer;Myelogenous leukemia;1
1597;Noonan syndrome;Leopard syndrome;1
1598;Noonan syndrome;Leukemia;1
1599;Norrie disease;Coats disease;1
1600;Norrie disease;Exudative vitreoretinopathy;1
1601;Obesity;Asthma;1
1602;Obesity;Beta-2-adrenoreceptor agonist, reduced response to;1
1603;Obesity;Leanness, inherited;1
1604;Obesity;Diabetes mellitus;2
1605;Obesity;Ossication of the posterior longitudinal spinal ligaments;1
1606;Obesity;Glioblastoma;1
1607;Obesity;Insulin resistance;1
1608;Obesity;Lipodystrophy;1
1609;Obsessive-compulsive disorder;Central hypoventilation syndrome;1
1610;Obsessive-compulsive disorder;Memory impairment;1
1611;Obsessive-compulsive disorder;Alcohol dependence;1
1612;Obsessive-compulsive disorder;Anorexia nervosa;1
1613;Obsessive-compulsive disorder;Schizophrenia;1
1614;Obsessive-compulsive disorder;Seasonal affective disorder;1
1615;Obsessive-compulsive disorder;Anxiety-related personality traits;1
1616;Occipital horn syndrome;Cutis laxa;1
1617;Occipital horn syndrome;Menkes disease;1
1618;Oculodentodigital dysplasia;Atrioventricular block;1
1619;Oculodentodigital dysplasia;Hypoplastic left heart syndrome;1
1620;Oculodentodigital dysplasia;Syndactyly;1
1621;Oligodendroglioma;Bannayan-Riley-Ruvalcaba syndrome;1
1622;Oligodendroglioma;Cowden disease;1
1623;Oligodendroglioma;Endometrial carcinoma;1
1624;Oligodendroglioma;Lhermitte-Duclos syndrome;1
